municipio,departamento,votos,candidato
Jardin,Antioquia,10,Jorque Antonio Trujillo Sarmiento
Jerico,Antioquia,3829,Iván Duque
Jerico,Antioquia,174,Gustavo Petro
Jerico,Antioquia,854,Sergio Fajardo
Jerico,Antioquia,301,Germán Vargas Lleras
Jerico,Antioquia,181,Humberto de la Calle
Jerico,Antioquia,9,Viviane Morales
Jerico,Antioquia,38,Jorque Antonio Trujillo Sarmiento
La Ceja,Antioquia,17569,Iván Duque
La Ceja,Antioquia,1490,Gustavo Petro
La Ceja,Antioquia,11350,Sergio Fajardo
La Ceja,Antioquia,725,Germán Vargas Lleras
La Ceja,Antioquia,550,Humberto de la Calle
La Ceja,Antioquia,49,Viviane Morales
La Ceja,Antioquia,53,Jorque Antonio Trujillo Sarmiento
La Estrella,Antioquia,15070,Iván Duque
La Estrella,Antioquia,2228,Gustavo Petro
La Estrella,Antioquia,12425,Sergio Fajardo
La Estrella,Antioquia,1171,Germán Vargas Lleras
La Estrella,Antioquia,778,Humberto de la Calle
La Estrella,Antioquia,106,Viviane Morales
La Estrella,Antioquia,45,Jorque Antonio Trujillo Sarmiento
La Pintada,Antioquia,2245,Iván Duque
La Pintada,Antioquia,199,Gustavo Petro
La Pintada,Antioquia,551,Sergio Fajardo
La Pintada,Antioquia,221,Germán Vargas Lleras
La Pintada,Antioquia,67,Humberto de la Calle
La Pintada,Antioquia,7,Viviane Morales
La Pintada,Antioquia,4,Jorque Antonio Trujillo Sarmiento
La Union,Antioquia,6167,Iván Duque
La Union,Antioquia,488,Gustavo Petro
La Union,Antioquia,3650,Sergio Fajardo
La Union,Antioquia,400,Germán Vargas Lleras
La Union,Antioquia,164,Humberto de la Calle
La Union,Antioquia,21,Viviane Morales
La Union,Antioquia,24,Jorque Antonio Trujillo Sarmiento
Liborina,Antioquia,2984,Iván Duque
Liborina,Antioquia,169,Gustavo Petro
Liborina,Antioquia,721,Sergio Fajardo
Liborina,Antioquia,218,Germán Vargas Lleras
Liborina,Antioquia,49,Humberto de la Calle
Liborina,Antioquia,9,Viviane Morales
Liborina,Antioquia,28,Jorque Antonio Trujillo Sarmiento
Maceo,Antioquia,2279,Iván Duque
Maceo,Antioquia,212,Gustavo Petro
Maceo,Antioquia,548,Sergio Fajardo
Maceo,Antioquia,325,Germán Vargas Lleras
Maceo,Antioquia,54,Humberto de la Calle
Maceo,Antioquia,10,Viviane Morales
Maceo,Antioquia,7,Jorque Antonio Trujillo Sarmiento
Marinilla,Antioquia,15685,Iván Duque
Marinilla,Antioquia,1890,Gustavo Petro
Marinilla,Antioquia,7471,Sergio Fajardo
Marinilla,Antioquia,763,Germán Vargas Lleras
Marinilla,Antioquia,432,Humberto de la Calle
Marinilla,Antioquia,37,Viviane Morales
Marinilla,Antioquia,32,Jorque Antonio Trujillo Sarmiento
Medellin,Antioquia,532329,Iván Duque
Medellin,Antioquia,77397,Gustavo Petro
Medellin,Antioquia,308914,Sergio Fajardo
Medellin,Antioquia,24276,Germán Vargas Lleras
Medellin,Antioquia,26112,Humberto de la Calle
